time_m,soc
0,0
1.0490847824,1
2.0981695648,2
3.1472543472,3
4.1963391296,4
5.245423912,5
6.2945086944,6
7.3435934768,7
8.3926782592,8
9.4417630416,9
9.7412996996,10.2166421539
11.0821758342,11.4961653017
12.4230519687,12.8089515215
13.7639281033,14.2048954214
15.1048042379,15.5278939879
16.4456803724,16.8435980211
17.786556507,18.2395419211
19.1274326415,19.4691704607
20.4683087761,20.8286416939
21.8091849106,21.6483174592
23.1500610452,23.518406027
24.4909371797,24.9026786736
25.8318133143,26.3073760136
27.1726894488,27.5384634599
28.5135655834,28.9227361065
29.6715949723,30.2349303094
30.8296243612,32.2625723432
32.1705004958,33.4965776028
33.5113766304,34.9155722282
34.8522527649,36.3497394829
36.1931288995,37.5449795082
37.4121072036,39.604289582
38.6310855077,40.9276715541
39.9719616423,41.9311695598
41.3128377768,42.9434210056
42.6537139114,45.0498524539
43.9945900459,46.4560087006
45.3354661805,47.7028523389
46.6763423151,49.0844989535
48.0172184496,50.39436736
49.3580945842,51.7917701666
50.6989707187,53.1804195333
52.0398468533,54.3572356514
53.3807229878,55.7826494661
54.7215991224,57.2238194729
56.0624752569,58.4461534792
57.4033513915,59.7122546855
58.744227526,61.2497125325
60.0851036606,62.4895534188
61.4259797951,64.552217667
62.7668559297,65.1647286852
64.1077320642,66.5329533584
65.4486081988,67.011244963
66.7894843334,68.2055679612
68.1303604679,68.825665294
69.4712366025,69.6920260728
70.812112737,70.2199205041
72.1529888716,71.5239532839
73.4938650061,72.0255873952
74.8347411407,73.2683460948
76.1756172752,73.8312542862
77.4555444946,74.7618041404
78.7354717139,75.899810523
80.0763478485,76.4831434078
81.417223983,77.7142308541
82.7581001176,78.1662621386
84.0989762521,79.4061030249
85.4398523867,79.9500454296
86.7807285212,80.8878926352
88.1216046558,81.4887324
89.4624807903,82.0195446447
90.8033569249,82.82171353
92.1442330594,82.8273193734
93.485109194,83.6849267122
94.8259853286,84.2040677035
96.1668614631,84.7698937082
97.5077375977,85.799652034
98.8486137322,86.2779436386
100.1894898668,86.8437696433
101.5303660013,87.0419511672
102.8712421359,87.8003528524
104.2121182704,88.4974804575
105.552994405,88.7656895015
106.8938705395,89.2352276661
108.2347466741,89.7354028707
109.392776063,90.7765322142
